,uriOrg,labelOrg,typesOrg,orgMainType,tot_members_number
603,http://www.wikidata.org/entity/Q1620868,Historische Kommission für Westfalen,historical commission,not classified organisation,3
1254,http://www.wikidata.org/entity/Q29790235,Philosophy and science sections of the Institut d'Estudis Catalans,organization,not classified organisation,3
384,http://www.wikidata.org/entity/Q131626,Smithsonian Institution,institution | medical check-up | museum,scientific organisation,3
2347,http://www.wikidata.org/entity/Q913250,Library and Archives Canada,library | national archives | national library | open-access repository,not classified organisation,3
1343,http://www.wikidata.org/entity/Q319761,Aberystwyth University,charitable organization | public university,public university,3
1345,http://www.wikidata.org/entity/Q320642,North Rhine-Westphalia Academy for Sciences and Arts,academy of sciences,academy of sciences,3
219,http://www.wikidata.org/entity/Q11942,ETH Zurich,institute of technology | polytechnic | public university | video game publisher,institute of technology,3
1210,http://www.wikidata.org/entity/Q28729082,Imperial St. Petersburg University,imperial university of the russian empire,university,3
1202,http://www.wikidata.org/entity/Q287072,University of Burgundy,university in france,university,3
640,http://www.wikidata.org/entity/Q16677214,société d'émulation du Jura,learned society,learned society,3
2324,http://www.wikidata.org/entity/Q882788,Secret State Archives Prussian Cultural Heritage Foundation,archive,not classified organisation,3
1899,http://www.wikidata.org/entity/Q579321,Dalhousie University,public research university | university in nova scotia,university,3
1989,http://www.wikidata.org/entity/Q632004,Radboud University Nijmegen,organization | university,university,3
931,http://www.wikidata.org/entity/Q218506,Lund University,organization | swedish government agency | university,university,3
706,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",organization | public educational institution of the united states | public research university | university | university campus,university,3
934,http://www.wikidata.org/entity/Q219317,University of Pavia,public university,public university,3
365,http://www.wikidata.org/entity/Q1301699,Koninklijke Vlaamse Academie van België voor Wetenschappen en Kunsten,academy of sciences and arts,academy of sciences,3
1718,http://www.wikidata.org/entity/Q49108,Massachusetts Institute of Technology,academic publisher | institute of technology | institute of technology | private not-for-profit educational institution | space grant institution | university,institute of technology,3
2335,http://www.wikidata.org/entity/Q901677,Romanian Academy,academy of sciences | library | national academy | open-access publisher,academy of sciences,3
1731,http://www.wikidata.org/entity/Q49210,New York University,private not-for-profit educational institution | private university | research university | school | workplace,private university,3
2371,http://www.wikidata.org/entity/Q9360459,The Society of the City of Poznań Enthusiasts,organization,not classified organisation,3
2249,http://www.wikidata.org/entity/Q81173,Exeter College,college of the university of oxford | university building,university,3
69,http://www.wikidata.org/entity/Q1068258,University College Dublin,organization | public university | research university,public university,3
2260,http://www.wikidata.org/entity/Q8203683,Arxiu del Regne de València,archive,not classified organisation,3
