,personUri,personLabel,birthYear,gender,countries,continents,fields
4236,http://www.wikidata.org/entity/Q55876530,Ruth E. Hodge,1937,female,United States,North America,
4237,http://www.wikidata.org/entity/Q15479689,Max Miller,1901,male,Germany,Europe,
4238,http://www.wikidata.org/entity/Q60694267,Filippo Valenti,1919,male,"Italy, Kingdom of Italy",Europe,
4239,http://www.wikidata.org/entity/Q55769975,Pericle Perali,1884,male,"Italy, Kingdom of Italy",Europe,
4240,http://www.wikidata.org/entity/Q2134296,Raymund Kottje,1926,male,Germany,Europe,
4241,http://www.wikidata.org/entity/Q94865660,Alexander Renz,1888,male,Germany,Europe,
4242,http://www.wikidata.org/entity/Q16130215,Uri Kochba,1910,male,Israel,Asia,
4243,http://www.wikidata.org/entity/Q1847771,Frederik Ouwerling,1883,male,Kingdom of the Netherlands,Europe,
4244,http://www.wikidata.org/entity/Q22005757,Rita Keegan,1949,female,United Kingdom,Europe,art of painting
4245,http://www.wikidata.org/entity/Q105015624,Eladio de Lapresa Molina,1907,male,Spain,Europe,
4246,http://www.wikidata.org/entity/Q72272455,Anton Ožinger,1943,male,Slovenia,Europe,
4247,http://www.wikidata.org/entity/Q28872261,Évelyne Van den Neste,1968,female,France,Europe,
4248,http://www.wikidata.org/entity/Q42328655,Michèle Nathan-Tilloy,1946,female,France,Europe,
4249,http://www.wikidata.org/entity/Q113766894,Birgitta Klemenz,1962,female,Germany,Europe,"study of history, German studies"
4250,http://www.wikidata.org/entity/Q19869143,Vilhelm Haffner,1864,male,Norway,Europe,
4251,http://www.wikidata.org/entity/Q23060973,Henri Longnon,1882,male,France,Europe,"archival science, palaeography, translation from Italian"
4252,http://www.wikidata.org/entity/Q98399272,Atanasio Palacio Valdés,1856,male,Spain,Europe,
4253,http://www.wikidata.org/entity/Q33105492,Agnès Magnien,1966,female,France,Europe,
4254,http://www.wikidata.org/entity/Q20533721,Antonio García Conde,1889,male,Spain,Europe,
4255,http://www.wikidata.org/entity/Q9392979,Zygmunt Lorentz,1894,male,Poland,Europe,
4256,http://www.wikidata.org/entity/Q115110211,Katja Lamberz,1948,female,"Germany, German Democratic Republic",Europe,
4257,http://www.wikidata.org/entity/Q3165571,Jean-François Delmas,1964,male,France,Europe,
4258,http://www.wikidata.org/entity/Q95150460,Miloš Lier,1888,male,Czechoslovakia,Europe,
4259,http://www.wikidata.org/entity/Q108810651,Cristina Massentini,1950,female,Italy,Europe,
4260,http://www.wikidata.org/entity/Q1303813,László Szögi,1948,male,Hungary,Europe,
4261,http://www.wikidata.org/entity/Q95076323,Ladislav Hladký,1942,male,Czechoslovakia,Europe,economic history
4262,http://www.wikidata.org/entity/Q55946270,Émile Fairon,1875,male,Belgium,Europe,
4263,http://www.wikidata.org/entity/Q42374588,Vincent Maroteaux,1961,male,France,Europe,
4264,http://www.wikidata.org/entity/Q23889243,Peter Beyer,1938,male,German Democratic Republic,Europe,
4265,http://www.wikidata.org/entity/Q42415990,André Legoy,1905,male,France,Europe,
4266,http://www.wikidata.org/entity/Q42308009,Hélène Cavalié,1981,female,France,Europe,
4267,http://www.wikidata.org/entity/Q61474090,Giulia Camerani Marri,1912,female,Italy,Europe,
4268,http://www.wikidata.org/entity/Q106806153,Włodzimierz Budka,1894,male,Poland,Europe,
4269,http://www.wikidata.org/entity/Q131309222,István Baraczka,1908,male,Hungary,Europe,
4270,http://www.wikidata.org/entity/Q42310278,Marie Laperdrix,1985,female,France,Europe,
4271,http://www.wikidata.org/entity/Q109337622,Ihor Kozhan,1953,male,"Soviet Union, Ukraine","Asia, Europe",
4272,http://www.wikidata.org/entity/Q118745671,Götz Krusemarck,1906,male,German Reich,Europe,
4273,http://www.wikidata.org/entity/Q890935,Bohumil Navrátil,1870,male,"Czechoslovakia, Austria–Hungary",Europe,
4274,http://www.wikidata.org/entity/Q35021074,Régis Rohmer,1881,male,France,Europe,
4275,http://www.wikidata.org/entity/Q131319615,András Borosy,1922,male,Hungary,Europe,
4276,http://www.wikidata.org/entity/Q47498534,Monika Borgmann,1963,female,"Lebanon, Germany","Asia, Europe",
4277,http://www.wikidata.org/entity/Q11927898,Joan Pons Marquès,1894,male,Spain,Europe,
4278,http://www.wikidata.org/entity/Q104518951,Salvatore Carbone,1921,male,"Italy, Kingdom of Italy",Europe,
4279,http://www.wikidata.org/entity/Q1155864,Fritz Gause,1893,male,Germany,Europe,"archival science, history, education, regional history"
4280,http://www.wikidata.org/entity/Q4892314,Agustín Durán Sanpere,1887,male,Spain,Europe,"archival science, archaeology, history"
4281,http://www.wikidata.org/entity/Q3266931,Luise Winterfeld,1882,female,Germany,Europe,
4282,http://www.wikidata.org/entity/Q2857145,Antonin Perbosc,1861,male,France,Europe,Occitan culture
4283,http://www.wikidata.org/entity/Q3370282,Paul-Frédéric Geisendorf,1910,male,Switzerland,Europe,
4284,http://www.wikidata.org/entity/Q2589821,Wolfgang Hagemann,1911,male,Germany,Europe,"botany, plant anatomy, systematic botany, plant morphology"
4285,http://www.wikidata.org/entity/Q98842811,Jenaro Artiles Rodríguez,1897,male,Spain,Europe,
4286,http://www.wikidata.org/entity/Q7962874,Wallace Potts,1947,male,United States,North America,
4287,http://www.wikidata.org/entity/Q104401,Walter Hirche,1941,male,Germany,Europe,
4288,http://www.wikidata.org/entity/Q104129136,Odile Gaultier-Voituriez,1969,female,France,Europe,
4289,http://www.wikidata.org/entity/Q2343875,Stephan Skalweit,1914,male,Germany,Europe,
4290,http://www.wikidata.org/entity/Q95121976,Josef Hanesch,1912,male,Czechoslovakia,Europe,archival science
4291,http://www.wikidata.org/entity/Q95391240,Oldřich Turčín,1925,male,Czechoslovakia,Europe,
4292,http://www.wikidata.org/entity/Q15429343,Karl Obser,1860,male,German Reich,Europe,"archival science, history"
4293,http://www.wikidata.org/entity/Q36322618,Pierre Duparc,1912,male,France,Europe,
4294,http://www.wikidata.org/entity/Q1284959,Edith Ditmas,1896,female,"United Kingdom, United Kingdom of Great Britain and Ireland",Europe,
4295,http://www.wikidata.org/entity/Q25344587,Gitta Günther,1936,female,Germany,Europe,
4296,http://www.wikidata.org/entity/Q95177482,Vladimír Holý,1921,male,Czechoslovakia,Europe,
4297,http://www.wikidata.org/entity/Q26468448,Erich Hillbrand,1926,male,Austria,Europe,
4298,http://www.wikidata.org/entity/Q8327414,Robert Avezou,1899,male,France,Europe,
