uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q118869085,Zsolt Krahulcsán,1971,education,http://www.wikidata.org/entity/Q903092,University of Debrecen,2,open-access publisher | university,1971-2000,"['open-access publisher', 'university']"
http://www.wikidata.org/entity/Q11905930,Vladimír Kajdoš,1893,education,http://www.wikidata.org/entity/Q31519,Charles University,5,czech research institution | organization | public university | publishing company | university,1881-1910,"['czech research institution', 'organization', 'public university', 'publishing company', 'university']"
http://www.wikidata.org/entity/Q11905930,Vladimír Kajdoš,1893,education,http://www.wikidata.org/entity/Q3563550,"Faculty of Arts, Charles University in Prague",3,faculty | open-access publisher | publishing company,1881-1910,"['faculty', 'open-access publisher', 'publishing company']"
http://www.wikidata.org/entity/Q11906129,Vladimír Klecanda,1888,education,http://www.wikidata.org/entity/Q12047389,"Faculty of Law, Charles University in Prague",3,faculty | faculty of law | research institute,1881-1910,"['faculty', 'faculty of law', 'research institute']"
http://www.wikidata.org/entity/Q11906129,Vladimír Klecanda,1888,education,http://www.wikidata.org/entity/Q273570,École des chartes,2,grand établissement | grande école,1881-1910,"['grand établissement', 'grande école']"
http://www.wikidata.org/entity/Q11906129,Vladimír Klecanda,1888,education,http://www.wikidata.org/entity/Q3563550,"Faculty of Arts, Charles University in Prague",3,faculty | open-access publisher | publishing company,1881-1910,"['faculty', 'open-access publisher', 'publishing company']"
http://www.wikidata.org/entity/Q11906129,Vladimír Klecanda,1888,employment,http://www.wikidata.org/entity/Q31519,Charles University,5,czech research institution | organization | public university | publishing company | university,1881-1910,"['czech research institution', 'organization', 'public university', 'publishing company', 'university']"
http://www.wikidata.org/entity/Q11906395,Arcadi García i Sanz,1926,membership,http://www.wikidata.org/entity/Q337421,Acadèmia de Bones Lletres de Barcelona,2,academy | national academy,1911-1940,"['academy', 'national academy']"
http://www.wikidata.org/entity/Q11906395,Arcadi García i Sanz,1926,employment,http://www.wikidata.org/entity/Q383568,University of Valencia,2,open-access publisher | public university,1911-1940,"['open-access publisher', 'public university']"
http://www.wikidata.org/entity/Q11906395,Arcadi García i Sanz,1926,membership,http://www.wikidata.org/entity/Q29790235,Philosophy and science sections of the Institut d'Estudis Catalans,1,organization,1911-1940,['organization']
http://www.wikidata.org/entity/Q11906395,Arcadi García i Sanz,1926,membership,http://www.wikidata.org/entity/Q1139785,Saint George's Cross,2,award | cultural prize,1911-1940,"['award', 'cultural prize']"
http://www.wikidata.org/entity/Q11906395,Arcadi García i Sanz,1926,education,http://www.wikidata.org/entity/Q219615,University of Barcelona,4,educational organization | open-access publisher | public university | publishing company,1911-1940,"['educational organization', 'open-access publisher', 'public university', 'publishing company']"
http://www.wikidata.org/entity/Q11906395,Arcadi García i Sanz,1926,education,http://www.wikidata.org/entity/Q383568,University of Valencia,2,open-access publisher | public university,1911-1940,"['open-access publisher', 'public university']"
http://www.wikidata.org/entity/Q11906395,Arcadi García i Sanz,1926,employment,http://www.wikidata.org/entity/Q29718,Jaume I University,3,open-access publisher | public university | university,1911-1940,"['open-access publisher', 'public university', 'university']"
http://www.wikidata.org/entity/Q11906395,Arcadi García i Sanz,1926,membership,http://www.wikidata.org/entity/Q8350003,Consell Valencià de Cultura,1,council,1911-1940,['council']
http://www.wikidata.org/entity/Q119116,Alexander Cartellieri,1867,employment,http://www.wikidata.org/entity/Q154561,Friedrich Schiller University Jena,3,collection | comprehensive university | public university,1851-1880,"['collection', 'comprehensive university', 'public university']"
http://www.wikidata.org/entity/Q119116,Alexander Cartellieri,1867,membership,http://www.wikidata.org/entity/Q451079,Saxon Academy of Sciences and Humanities,2,academy of sciences | research institute,1851-1880,"['academy of sciences', 'research institute']"
http://www.wikidata.org/entity/Q119116,Alexander Cartellieri,1867,employment,http://www.wikidata.org/entity/Q151510,Heidelberg University,6,comprehensive university | open-access publisher | public research university | public university | university campus | university of excellence,1851-1880,"['comprehensive university', 'open-access publisher', 'public research university', 'public university', 'university campus', 'university of excellence']"
http://www.wikidata.org/entity/Q11918093,Eduardo Codina Armengot,1908,education,http://www.wikidata.org/entity/Q383568,University of Valencia,2,open-access publisher | public university,1881-1910,"['open-access publisher', 'public university']"
http://www.wikidata.org/entity/Q119198750,Manuel Pérez Celdrán,1932,employment,http://www.wikidata.org/entity/Q3991656,González Byass,1,business,1911-1940,['business']
http://www.wikidata.org/entity/Q11921859,Ferran Valls i Taberner,1888,membership,http://www.wikidata.org/entity/Q337421,Acadèmia de Bones Lletres de Barcelona,2,academy | national academy,1881-1910,"['academy', 'national academy']"
http://www.wikidata.org/entity/Q11921859,Ferran Valls i Taberner,1888,education,http://www.wikidata.org/entity/Q21705070,Universidad Central,4,higher education institution | public university | replaced entity | university,1881-1910,"['higher education institution', 'public university', 'replaced entity', 'university']"
http://www.wikidata.org/entity/Q11921859,Ferran Valls i Taberner,1888,employment,http://www.wikidata.org/entity/Q219615,University of Barcelona,4,educational organization | open-access publisher | public university | publishing company,1881-1910,"['educational organization', 'open-access publisher', 'public university', 'publishing company']"
